排程單號
機台號,缸號,工單,開卡日時間,投胚日時間
#====第1缸排程工單==start==#
#====第1缸排程工單==end==#
%%
#====第2缸排程工單==start==#
D17,2,C50178091A,2017-08-23 10:06:38,
D18,2,C92178144A,2017-08-19 07:37:12,
D18,2,C92178148A,2017-08-19 12:45:50,
D17,2,C50178092A,2017-08-24 00:39:16,
#====第2缸排程工單==end==#
%%
#====第3缸排程工單==start==#
D03,3,C50178220A,2017-08-22 18:15:26,
D21,3,C50178169A,2017-08-24 06:43:04,
D08,3,C50178118A,2017-08-24 04:08:04,
D08,3,A01178012A,2017-08-18 17:45:06,
D25,3,C50178215A,2017-08-19 03:31:12,
#====第3缸排程工單==end==#
%%
#====第5缸排程工單==start==#
D01,5,C50177264C,2017-08-21 19:26:23,
D01,5,C50178173A,2017-08-22 06:54:35,
D09,5,A53178196A,2017-08-24 14:14:54,
D06,5,A53178051B,2017-08-19 13:56:48,
D12,5,A53178083A,2017-08-20 07:14:15,
D15,5,C05178001A,2017-08-19 17:51:51,
D12,5,B88178043A,2017-08-22 20:23:09,
D15,5,C50178180A,2017-08-19 17:52:46,
#====第5缸排程工單==end==#
%%
#====第6缸排程工單==start==#
D15,6,C50178181A,2017-08-20 04:54:49,
D06,6,A53178147A,2017-08-21 19:04:50,
D19,6,A53178107A,2017-08-23 15:19:34,
D12,6,A28178125A,2017-08-24 05:45:41,
D23,6,B88178040A,2017-08-21 21:18:42,
D19,6,B96177048A,2017-08-18 18:09:32,
D07,6,B96177051A,2017-08-24 06:02:12,
D19,6,B96178024A,2017-08-24 07:37:22,
#====第6缸排程工單==end==#
%%
#====第7缸排程工單==start==#
D12,7,A28178058A,2017-08-18 16:09:17,
D19,7,A53178101A,2017-08-21 21:17:37,
#====第7缸排程工單==end==#
%%
#====第8缸排程工單==start==#
D08,8,C50178051C,2017-08-24 13:36:45,
D08,8,C50178239A,2017-08-22 21:13:11,
D08,8,C50178238A,2017-08-22 16:34:32,
D25,8,C50178137A,2017-08-19 14:15:09,
#====第8缸排程工單==end==#
%%
#====第9缸排程工單==start==#
D09,9,C50178175A,2017-08-22 17:53:52,
D12,9,A53178119A,2017-08-19 22:09:58,
#====第9缸排程工單==end==#
%%
#====第10缸排程工單==start==#
#====第10缸排程工單==end==#
%%
#====第11缸排程工單==start==#
D07,11,B96178027A,2017-08-24 12:45:01,
D07,11,B96178028A,2017-08-24 12:45:34,
D07,11,B96177049A,2017-08-23 22:28:34,
D07,11,B96177050A,2017-08-23 22:29:07,
D19,11,A53178120A,2017-08-22 19:44:55,
D07,11,C50178216B,2017-08-22 09:06:41,
D07,11,C50178217B,2017-08-22 09:07:09,
D06,11,C50178275B,2017-08-22 14:54:52,
#====第11缸排程工單==end==#
%%
#====第12缸排程工單==start==#
D01,12,C50178275A,2017-08-20 03:52:40,
#====第12缸排程工單==end==#
%%
#====第13缸排程工單==start==#
#====第13缸排程工單==end==#
%%
#====第14缸排程工單==start==#
D03,14,C50178083A,2017-08-21 14:07:15,
D24,14,C50178074B,2017-08-21 23:16:28,
D21,14,C50178133A,2017-08-23 13:07:19,
D08,14,C50178051B,2017-08-22 07:42:42,
D12,14,A53178084A,2017-08-20 07:14:44,
#====第14缸排程工單==end==#
%%
#====第15缸排程工單==start==#
#====第15缸排程工單==end==#
%%
#====第16缸排程工單==start==#
#====第16缸排程工單==end==#
%%
#====第17缸排程工單==start==#
#====第17缸排程工單==end==#
%%
#====第18缸排程工單==start==#
#====第18缸排程工單==end==#
%%
#====第19缸排程工單==start==#
#====第19缸排程工單==end==#
%%
#====第20缸排程工單==start==#
D01,20,C50178167A,2017-08-21 15:01:28,
D05,20,C50178001C,2017-08-18 15:29:52,
D01,20,C50178174A,2017-08-23 13:30:29,
D21,20,A53177106C,2017-08-23 02:34:23,
D21,20,C50178087A,2017-08-21 17:46:25,
D10,20,C05178065A,2017-08-24 02:25:59,
D13,20,A53178024B,2017-08-23 00:00:25,
